event_id,customer_id,event_time,event_name,platform
1,3,1704355200,page_view,web
2,3,1704355320,product_view,web
3,3,1704355500,add_to_cart,web
4,3,1704355680,purchase,web
5,7,1704787200,page_view,mobile
6,7,1704787380,product_view,mobile
7,7,1704787560,add_to_cart,mobile
8,7,1704787740,purchase,mobile
9,1,1705219200,page_view,web
10,1,1705219380,product_view,web
11,1,1705219560,purchase,web
12,5,1706400000,page_view,mobile
13,5,1706400180,product_view,mobile
14,5,1706400360,add_to_cart,mobile
15,5,1706400540,purchase,mobile
16,9,1706832000,page_view,web
17,9,1706832180,product_view,web
18,9,1706832360,add_to_cart,web
19,9,1706832540,wishlist_add,web
20,9,1706918400,page_view,web
21,9,1706918580,purchase,web
22,6,1707264000,page_view,web
23,6,1707264180,product_view,web
24,6,1707264360,add_to_cart,web
25,6,1707264540,purchase,web
26,18,1707350400,page_view,mobile
27,18,1707350580,product_view,mobile
28,18,1707350760,purchase,mobile
29,2,1707782400,page_view,mobile
30,2,1707782580,product_view,mobile
31,2,1707782760,add_to_cart,mobile
32,2,1707782940,purchase,mobile
33,11,1709596800,page_view,mobile
34,11,1709596980,product_view,mobile
35,11,1709597160,purchase,mobile
36,15,1709856000,page_view,web
37,15,1709856180,product_view,web
38,15,1709856360,add_to_cart,web
39,15,1709856540,purchase,web
40,4,1710288000,page_view,mobile
41,4,1710288180,add_to_cart,mobile
42,4,1710288360,purchase,mobile
43,20,1710892800,page_view,web
44,20,1710893000,product_view,web
45,20,1710893200,purchase,web
46,8,1711929600,page_view,web
47,8,1711929780,product_view,web
48,8,1711929960,add_to_cart,web
49,8,1711930140,wishlist_add,web
50,13,1712361600,page_view,mobile
51,13,1712361780,product_view,mobile
52,13,1712361960,purchase,mobile
53,1,1714780800,page_view,web
54,1,1714780980,product_view,web
55,1,1714781160,purchase,web
56,19,1715040000,page_view,web
57,19,1715040180,product_view,web
58,19,1715040360,add_to_cart,web
59,19,1715040540,purchase,web
60,10,1715472000,page_view,web
61,10,1715472180,product_view,web
62,10,1715472360,add_to_cart,web
63,10,1715472540,purchase,web
64,17,1717200000,page_view,mobile
65,17,1717200180,product_view,mobile
66,17,1717200360,purchase,mobile
67,12,1719878400,page_view,web
68,12,1719878580,product_view,web
69,12,1719878760,add_to_cart,web
70,12,1719878940,purchase,web
71,9,1722470400,page_view,web
72,9,1722470580,product_view,web
73,9,1722470760,wishlist_add,web
74,3,1725148800,page_view,web
75,3,1725148980,product_view,web
76,3,1725149160,add_to_cart,web
77,3,1725149340,purchase,web
78,14,1727827200,page_view,web
79,14,1727827380,product_view,web
80,14,1727827560,purchase,web
